flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
1,1-комнатная,46.7,14.6,20.0,8,15480000,Удельная,10,пешком,13,0
1,1-комнатная,35.0,19.6,6.0,6,4800000,Ленинский проспект,9,на машине,52,0
0,2-комнатная,76.5,30.8,25.5,2,23441933,Новочеркасская,13,пешком,1,0
1,3-комнатная,94.1,52.7,12.3,3,17000000,Василеостровская,3,пешком,108,0
0,1-комнатная,25.73,15.7,5.0,2,15571000,Чкаловская,8,пешком,0,1
0,2-комнатная,53.6,27.6,7.7,7,18950601,Балтийская,5,пешком,0,0
1,4-комнатная,91.0,56.0,25.0,1,40800000,Чернышевская,17,пешком,120,0
1,2-комнатная,55.0,34.1,8.1,5,10990000,Елизаровская,5,пешком,67,0
1,Студия,18.2,11.7,1.5,1,3499000,Пионерская,13,пешком,51,0
1,1-комнатная,61.5,35.1,18.6,4,18800000,Спортивная,6,пешком,11,0
1,1-комнатная,36.3,18.1,10.8,11,8200000,Комендантский проспект,9,пешком,25,0
1,1-комнатная,40.4,11.6,17.0,6,24846000,Петроградская,8,пешком,2,0
1,1-комнатная,66.6,15.4,29.3,3,21854124,Пионерская,5,на машине,4,0
0,2-комнатная,52.76,23.6,17.5,3,25817127,Чкаловская,8,пешком,0,1
1,2-комнатная,53.7,30.2,8.0,14,8750000,Купчино,13,пешком,46,0
0,2-комнатная,61.4,20.5,15.0,9,18005550,Лесная,11,пешком,2,0
1,1-комнатная,33.66,9.1,11.1,11,4799000,Купчино,9,на машине,3,0
1,2-комнатная,71.0,45.5,10.2,3,21950000,Спасская,15,пешком,165,0
1,1-комнатная,42.0,13.6,13.5,6,18900000,Удельная,22,пешком,2,0
1,1-комнатная,39.3,14.1,12.7,3,19118473,Крестовский остров,3,на машине,4,0
0,2-комнатная,50.6,26.8,12.3,2,40332865,Чкаловская,18,пешком,0,1
0,Студия,24.49,11.7,3.9,11,3278226,Рыбацкое,19,на машине,0,1
1,1-комнатная,34.68,18.1,6.0,3,3750000,Рыбацкое,17,на машине,66,0
0,Студия,19.9,8.9,5.0,4,3341210,Академическая,19,на машине,0,0
0,Студия,20.4,9.1,5.0,1,3166080,Академическая,16,на машине,0,1
0,Студия,22.86,11.3,3.0,3,3210984,Рыбацкое,18,на машине,0,1
0,Студия,19.9,9.2,5.0,13,3293450,Академическая,15,на машине,5,0
0,Студия,20.6,9.0,5.0,2,3394880,Академическая,19,на машине,0,0
0,Студия,21.33,10.5,3.4,2,3051220,Рыбацкое,19,на машине,0,1
0,Студия,26.89,13.6,3.2,11,3451545,Рыбацкое,18,на машине,0,1
0,Студия,26.25,12.7,4.2,1,3199484,Рыбацкое,19,на машине,0,1
0,Студия,20.32,9.2,5.0,1,3775456,Академическая,15,на машине,1,0
1,Студия,18.37,15.0,3.0,14,3190000,Девяткино,10,на машине,2,0
0,Студия,24.81,12.2,3.4,2,3104616,Рыбацкое,19,на машине,0,1
1,Неизвестно,74.8,14.9,10.5,4,1680000,Садовая,12,пешком,149,0
1,1-комнатная,30.8,15.1,10.2,2,3792600,Шушары,16,на машине,4,0
0,Студия,21.5,9.1,5.3,16,3708750,Академическая,19,на машине,0,0
0,Студия,19.2,7.7,5.0,3,3454080,Академическая,15,на машине,0,0
0,Студия,21.83,12.1,3.0,2,3011700,Рыбацкое,19,на машине,0,1
0,Студия,22.1,10.9,5.0,3,3637660,Академическая,15,на машине,0,0
0,Студия,20.56,10.0,5.0,8,3799488,Академическая,15,на машине,1,0
0,Студия,27.68,13.6,3.2,4,3832379,Рыбацкое,18,на машине,0,1
0,Студия,20.56,10.0,5.0,8,3758368,Академическая,15,на машине,1,0
0,Студия,20.8,9.9,5.0,1,3169920,Академическая,15,на машине,0,1
0,Студия,22.7,10.9,5.0,2,3613840,Академическая,15,на машине,0,0
0,Студия,19.7,7.7,5.0,2,3419920,Академическая,15,на машине,0,0
0,Студия,24.45,13.3,3.5,7,3789750,Шушары,11,на машине,0,0
1,1-комнатная,31.6,17.6,5.6,4,5050000,Выборгская,5,на машине,63,0
0,1-комнатная,31.58,14.9,8.8,9,4894900,Шушары,11,на машине,0,0
1,Студия,22.0,11.0,6.0,12,4880000,Звездная,10,на машине,2,0
1,2-комнатная,45.1,25.8,8.5,3,5086200,Шушары,15,на машине,4,0
0,Студия,22.64,10.0,5.6,8,5046207,Рыбацкое,5,на машине,0,0
0,Студия,22.7,11.7,5.0,10,4975840,Ломоносовская,6,на машине,0,1
0,1-комнатная,32.54,12.2,10.3,9,4780939,Купчино,22,на машине,0,0
0,Студия,25.6,13.9,5.0,3,4999680,Ломоносовская,6,на машине,0,0
1,Студия,27.4,12.5,5.1,2,5000000,Купчино,20,на машине,1,0
0,Студия,22.3,10.0,5.4,14,5048653,Рыбацкое,5,на машине,0,0
0,Студия,22.7,10.2,5.0,3,4916820,Московская,22,на машине,0,1
0,Студия,22.5,11.6,5.1,4,5050000,Купчино,20,на машине,1,0
0,Студия,22.4,11.5,5.0,3,4898880,Ломоносовская,6,на машине,0,1
0,Студия,23.7,10.1,5.1,2,5043360,Московская,22,на машине,0,1
0,1-комнатная,33.7,11.1,15.7,2,4987600,Академическая,15,на машине,0,1
0,1-комнатная,32.7,8.9,15.1,8,4829790,Академическая,14,на машине,0,1
0,Студия,24.9,12.7,5.0,1,4912770,Московская,22,на машине,0,1
0,1-комнатная,32.6,8.9,15.1,11,4815020,Академическая,15,на машине,5,0
0,Студия,23.76,12.0,5.0,1,5074494,Шушары,17,на машине,1,0
0,Студия,20.34,8.6,3.3,5,4791044,Парнас,22,на машине,1,0
0,Студия,20.72,9.0,5.1,18,4982393,Рыбацкое,5,на машине,0,0
0,1-комнатная,33.69,10.8,13.7,9,4896841,Купчино,21,на машине,0,0
0,Студия,25.04,14.7,3.8,1,4958156,Парнас,22,на машине,1,0
0,1-комнатная,39.26,11.9,18.4,5,5021079,Рыбацкое,19,на машине,0,1
1,Студия,26.4,12.6,7.0,10,5084000,Рыбацкое,19,пешком,17,0
0,Студия,22.3,10.0,5.4,15,4906387,Рыбацкое,4,на машине,0,1
0,Студия,25.6,13.0,3.4,3,5339059,Парнас,24,на машине,1,0
0,Студия,21.55,13.6,3.0,2,5325867,Ладожская,9,пешком,0,0
1,Студия,24.6,13.0,5.0,12,5150000,Проспект Большевиков,23,пешком,10,0
1,1-комнатная,29.2,15.3,6.8,2,5300000,Проспект Славы,15,пешком,53,0
0,Студия,24.9,12.9,3.1,9,5213827,Парнас,24,на машине,1,0
0,Студия,21.81,10.8,4.0,2,5183513,Рыбацкое,11,на машине,0,1
0,1-комнатная,35.3,13.6,15.4,13,5157330,Академическая,15,на машине,0,1
0,1-комнатная,35.69,15.8,9.5,6,5175050,Шушары,11,на машине,0,0
0,Студия,21.53,11.2,3.1,5,5170612,Парнас,22,на машине,1,0
0,Студия,25.72,8.3,7.1,1,5209738,Проспект Ветеранов,11,на машине,0,0
0,Студия,23.75,11.4,5.3,4,5196025,Проспект Ветеранов,11,на машине,0,0
0,1-комнатная,35.12,13.3,9.5,10,5092400,Шушары,11,на машине,0,0
0,Студия,24.7,11.6,3.5,5,5335521,Парнас,24,на машине,1,0
0,Студия,24.09,11.0,5.1,22,5186451,Рыбацкое,5,на машине,0,0
0,Студия,22.9,12.1,3.8,4,5251039,Парнас,23,на машине,1,0
0,1-комнатная,32.44,12.3,11.0,4,5122600,Рыбацкое,17,на машине,0,1
0,Студия,23.1,12.0,4.0,5,5171235,Парнас,23,на машине,1,0
0,1-комнатная,36.68,18.5,9.9,2,5166378,Купчино,23,на машине,0,0
0,Студия,25.8,14.3,4.3,1,5210695,Парнас,22,на машине,1,0
0,Студия,23.76,10.5,5.0,6,5193910,Рыбацкое,4,на машине,0,1
1,1-комнатная,32.7,18.7,7.4,12,5250000,Гражданский проспект,12,на машине,1,0
1,2-комнатная,46.8,27.6,8.6,8,5183000,Шушары,16,на машине,4,0
0,Студия,24.04,10.0,5.5,2,5113363,Проспект Ветеранов,11,на машине,0,0
0,Студия,22.64,10.0,5.6,8,5338037,Рыбацкое,4,на машине,0,1
0,Студия,21.9,10.9,3.9,5,5091378,Парнас,23,на машине,1,0
0,1-комнатная,32.0,13.2,7.6,8,5132800,Академическая,19,на машине,0,0
0,1-комнатная,33.12,12.3,11.3,2,5201680,Рыбацкое,17,на машине,0,1
1,3-комнатная,65.5,40.4,11.0,2,16000000,Петроградская,7,пешком,112,0
1,3-комнатная,103.88,41.7,36.3,7,36437600,Новочеркасская,6,пешком,1,0
1,3-комнатная,95.5,46.1,33.9,13,31000000,Черная речка,14,пешком,3,0
1,1-комнатная,47.0,17.0,13.2,7,27000000,Чкаловская,11,пешком,16,0
1,1-комнатная,36.6,15.4,10.2,12,8200000,Приморская,15,на машине,1,0
1,2-комнатная,44.0,26.9,6.2,3,6290000,Ленинский проспект,7,на машине,45,0
1,2-комнатная,68.1,35.5,14.1,14,16000000,Ленинский проспект,17,пешком,18,0
0,3-комнатная,86.4,47.4,20.6,3,36936000,Василеостровская,4,на машине,0,1
1,Студия,35.3,23.6,6.7,5,8450000,Пушкинская,6,на машине,3,0
0,3-комнатная,87.23,43.9,20.2,2,36636600,Спортивная,5,на машине,0,0
1,1-комнатная,37.47,14.4,11.3,4,13750000,Пионерская,10,пешком,3,0
1,1-комнатная,35.4,15.2,10.2,16,9950000,Ладожская,14,пешком,7,0
1,3-комнатная,157.0,54.0,61.0,9,41700000,Звездная,6,пешком,5,0
0,Студия,26.5,10.9,7.9,3,8639000,Горный институт,10,на машине,0,1
1,1-комнатная,35.1,16.5,11.0,7,6600000,Проспект Ветеранов,9,на машине,19,0
0,3-комнатная,84.1,47.9,17.2,3,40788500,Петроградская,5,пешком,1,0
1,3-комнатная,65.6,45.5,6.9,3,7050000,Ломоносовская,8,на машине,45,0
1,1-комнатная,36.3,16.6,10.0,6,5400000,Ленинский проспект,14,на машине,6,0
1,1-комнатная,37.0,21.0,8.0,14,6420000,Лесная,8,на машине,53,0
1,2-комнатная,49.5,31.1,7.0,3,9200000,Ладожская,6,на машине,41,0
1,3-комнатная,102.2,45.0,16.9,2,22369379,Проспект Ветеранов,17,на машине,3,0
1,3-комнатная,83.1,53.6,12.3,3,33500000,Петроградская,16,пешком,11,0
1,2-комнатная,44.4,31.0,6.0,5,6050000,Московская,16,пешком,54,0
1,2-комнатная,44.0,25.6,5.1,4,5670000,Проспект Ветеранов,11,на машине,60,0
1,1-комнатная,28.9,15.0,7.0,5,6000000,Купчино,15,пешком,51,0
1,1-комнатная,30.7,15.3,8.0,8,5950000,Выборгская,8,на машине,59,0
1,Неизвестно,68.0,49.0,8.0,4,5550000,Нарвская,3,пешком,89,0
1,2-комнатная,44.0,30.6,5.6,2,5550000,Шушары,18,на машине,58,0
1,Студия,25.68,21.6,4.0,3,5300000,Ладожская,15,пешком,1,0
1,Студия,25.6,17.3,3.0,9,5900000,Проспект Просвещения,10,на машине,2,0
1,Студия,22.5,14.5,3.0,14,5650000,Парнас,19,пешком,8,0
1,Студия,26.4,15.0,5.0,13,5400000,Гражданский проспект,17,пешком,19,0
1,Студия,24.4,16.4,3.0,18,5400000,Комендантский проспект,7,на машине,5,0
1,1-комнатная,36.6,17.7,10.5,2,5900000,Купчино,15,на машине,3,0
1,1-комнатная,34.9,11.6,16.5,10,5590000,Гражданский проспект,11,на машине,2,0
1,1-комнатная,35.5,18.0,7.4,2,5500000,Ломоносовская,8,на машине,49,0
1,Студия,30.9,23.1,2.0,12,5950000,Ломоносовская,20,пешком,3,0
1,Студия,24.0,16.5,1.0,14,5790000,Звездная,6,на машине,4,0
1,Студия,27.5,16.0,6.5,3,5500000,Рыбацкое,22,на машине,2,0
1,3-комнатная,42.0,29.0,5.3,2,5500000,Проспект Ветеранов,12,пешком,60,0
1,Студия,25.0,15.0,5.0,12,5499000,Комендантский проспект,7,на машине,5,0
1,3-комнатная,42.2,26.6,5.3,5,6100000,Проспект Ветеранов,7,на машине,57,0
1,1-комнатная,28.9,17.0,5.5,9,5700000,Проспект Славы,16,пешком,53,0
1,2-комнатная,65.67,34.0,11.4,14,9800000,Обухово,8,на машине,15,0
1,2-комнатная,50.3,29.9,8.9,5,9750000,Обводный канал,8,пешком,114,0
1,1-комнатная,36.7,23.9,6.5,1,10699999,Василеостровская,5,пешком,122,0
1,2-комнатная,47.0,26.3,7.6,3,10000000,Проспект Просвещения,15,пешком,36,0
1,2-комнатная,32.6,21.0,7.8,4,10000000,Площадь Восстания,10,пешком,122,0
1,2-комнатная,58.0,36.0,8.2,4,10500000,Елизаровская,2,пешком,66,0
1,2-комнатная,44.4,27.6,6.8,2,9899000,Улица Дыбенко,10,пешком,54,0
1,2-комнатная,52.4,33.0,8.1,5,9750000,Новочеркасская,24,пешком,67,0
1,1-комнатная,39.2,15.3,12.5,22,9784320,Парнас,19,пешком,3,0
1,3-комнатная,57.2,38.9,6.3,2,10000000,Комендантский проспект,9,пешком,38,0
1,3-комнатная,74.7,47.0,10.0,5,9600000,Шушары,20,на машине,15,0
1,3-комнатная,65.2,38.0,9.6,8,10550000,Проспект Большевиков,11,пешком,51,0
1,3-комнатная,72.1,47.2,8.6,10,11500000,Ленинский проспект,7,на машине,15,0
1,5-комнатная,107.0,60.5,12.9,7,11300000,Проспект Просвещения,6,на машине,43,0
1,1-комнатная,52.2,20.0,11.2,10,11000000,Политехническая,5,на машине,26,0
1,1-комнатная,44.7,18.3,12.8,5,10980000,Приморская,24,пешком,26,0
1,4-комнатная,73.7,48.7,15.0,1,11500000,Комендантский проспект,16,пешком,39,0
1,1-комнатная,44.0,12.9,15.7,1,10950000,Московская,24,пешком,4,0
0,2-комнатная,34.75,20.4,5.7,5,10772500,Политехническая,6,пешком,0,1
0,1-комнатная,36.98,10.1,19.2,2,11100000,Приморская,10,на машине,1,0
1,2-комнатная,52.7,38.7,9.0,11,11700000,Беговая,23,пешком,14,0
1,1-комнатная,31.9,11.0,12.8,3,11000000,Удельная,19,пешком,2,0
1,3-комнатная,58.6,37.5,7.0,6,10700000,Комендантский проспект,6,пешком,38,0
1,2-комнатная,44.55,27.7,5.1,8,11700000,Новочеркасская,7,пешком,60,0
0,1-комнатная,34.9,10.0,16.2,1,11071082,Лесная,6,пешком,0,1
1,2-комнатная,56.0,32.1,8.0,19,11000000,Комендантский проспект,7,на машине,6,0
1,2-комнатная,65.7,36.7,11.0,5,11400000,Купчино,15,на машине,9,0
1,3-комнатная,75.1,45.3,10.0,4,11200000,Проспект Большевиков,18,пешком,45,0
1,2-комнатная,50.99,22.1,17.4,2,11500000,Проспект Ветеранов,18,на машине,0,0
1,1-комнатная,41.8,10.9,21.9,6,11400000,Проспект Большевиков,6,на машине,2,0
1,3-комнатная,58.5,37.2,7.3,5,10900000,Купчино,15,на машине,38,0
1,1-комнатная,31.83,10.1,14.7,11,11000000,Площадь Мужества,25,пешком,1,0
1,4-комнатная,110.6,51.9,37.0,4,44000000,Достоевская,6,пешком,183,0
1,4-комнатная,116.5,44.5,37.7,2,44000000,Крестовский остров,18,пешком,5,0
1,3-комнатная,101.8,47.7,18.5,3,41738000,Чернышевская,19,пешком,16,0
1,4-комнатная,135.0,88.9,23.0,17,43800000,Фрунзенская,10,пешком,9,0
1,3-комнатная,97.8,37.3,36.0,2,42000000,Площадь Ленина,5,на машине,9,0
1,4-комнатная,124.6,81.4,18.0,2,44900000,Спасская,10,пешком,120,0
1,3-комнатная,95.0,24.6,46.7,4,43000000,Садовая,11,пешком,22,0
1,3-комнатная,117.0,43.1,43.8,6,42000000,Крестовский остров,22,пешком,3,0
1,2-комнатная,84.0,42.1,16.2,1,44450000,Ленинский проспект,11,на машине,11,0
1,3-комнатная,83.1,64.2,8.0,2,42000000,Чкаловская,5,пешком,2,0
1,5-комнатная,184.3,119.9,22.6,5,40997000,Чернышевская,8,пешком,124,0
1,4-комнатная,103.5,57.0,18.0,6,44000000,Чернышевская,7,пешком,163,0
1,2-комнатная,75.6,32.6,23.0,5,44000000,Спортивная,19,пешком,0,1
1,3-комнатная,99.5,52.4,8.5,3,41478000,Адмиралтейская,3,пешком,199,0
1,3-комнатная,121.2,86.4,20.0,2,41000000,Беговая,11,на машине,9,0
0,1-комнатная,33.8,15.0,10.4,9,5820588,Рыбацкое,18,на машине,1,0
0,1-комнатная,39.67,17.3,13.1,8,5752150,Шушары,11,на машине,0,0
0,Студия,31.7,16.7,7.0,2,5842614,Парнас,23,на машине,1,0
1,1-комнатная,35.4,17.0,11.0,22,5750000,Ломоносовская,9,на машине,3,0
0,Студия,21.65,10.8,5.4,5,5897460,Автово,6,на машине,0,0
0,1-комнатная,33.75,13.2,13.5,10,5818078,Елизаровская,20,пешком,0,0
0,1-комнатная,33.13,13.5,10.4,11,5788806,Рыбацкое,18,на машине,1,0
0,Студия,21.34,9.9,5.9,2,5911180,Улица Дыбенко,30,пешком,0,1
1,1-комнатная,30.7,17.0,5.4,2,5800000,Купчино,17,на машине,57,0
0,1-комнатная,32.0,12.3,10.1,3,5822880,Рыбацкое,22,на машине,1,0
0,1-комнатная,36.78,12.8,16.5,2,5994220,Елизаровская,20,пешком,0,0
0,Студия,23.35,14.4,4.0,15,5934636,Ладожская,9,пешком,0,0
0,1-комнатная,45.54,13.8,18.5,1,5879943,Рыбацкое,18,на машине,0,1
0,Студия,29.49,12.4,6.8,8,5996576,Проспект Ветеранов,11,на машине,0,0
0,Студия,18.24,6.3,5.2,12,5982720,Улица Дыбенко,30,пешком,0,1
0,1-комнатная,34.78,10.8,14.5,3,5966943,Елизаровская,20,пешком,0,0
0,1-комнатная,33.81,12.9,12.0,9,5945065,Елизаровская,18,пешком,0,1
1,2-комнатная,47.4,27.0,9.3,5,5960000,Шушары,16,на машине,4,0
0,1-комнатная,30.59,10.1,15.0,20,5961991,Академическая,15,на машине,1,0
0,Студия,26.58,14.0,5.3,3,5887269,Шушары,17,на машине,1,0
1,1-комнатная,44.2,18.4,13.3,5,5900000,Беговая,15,на машине,11,0
0,Студия,21.44,10.1,5.3,3,5840256,Автово,6,на машине,0,0
1,1-комнатная,30.3,16.2,5.7,5,5750000,Черная речка,13,пешком,63,0
0,1-комнатная,46.99,14.6,19.7,2,5977122,Рыбацкое,18,на машине,0,1
0,1-комнатная,38.86,11.4,17.0,2,5754440,Рыбацкое,17,на машине,0,1
0,Студия,24.58,11.0,5.2,10,6032153,Рыбацкое,4,на машине,0,1
0,1-комнатная,31.78,10.2,12.1,2,6184770,Купчино,3,на машине,0,0
1,2-комнатная,49.4,30.2,8.0,5,6250000,Ладожская,12,на машине,48,0
1,2-комнатная,45.5,30.7,6.2,4,6050000,Академическая,25,пешком,59,0
0,Студия,32.54,22.0,5.0,2,6129559,Ладожская,9,пешком,0,0
0,Студия,22.5,10.8,4.0,8,6013868,Рыбацкое,11,на машине,0,1
0,2-комнатная,37.22,9.4,18.1,1,6159910,Проспект Ветеранов,24,на машине,0,1
0,Студия,27.6,14.4,3.3,5,6107797,Парнас,23,на машине,1,0
0,Студия,24.29,14.3,5.0,15,6062055,Ладожская,9,пешком,0,0
0,1-комнатная,33.9,11.3,16.0,2,6254550,Ломоносовская,6,на машине,0,1
0,1-комнатная,30.57,10.1,9.5,15,6264462,Рыбацкое,5,на машине,0,0
1,Студия,19.2,7.6,5.1,8,6144000,Приморская,6,на машине,1,0
0,1-комнатная,34.13,12.6,10.1,3,6032068,Рыбацкое,22,на машине,1,0
1,2-комнатная,56.2,30.3,8.4,1,6200000,Рыбацкое,11,на машине,75,0
1,1-комнатная,31.2,16.8,5.2,4,5900000,Пионерская,21,пешком,64,0
1,Студия,20.2,8.6,3.2,13,6193320,Парнас,30,пешком,1,0
0,1-комнатная,41.35,13.9,17.0,3,6179250,Рыбацкое,17,на машине,0,1
0,1-комнатная,39.73,13.0,14.2,2,5967880,Рыбацкое,17,на машине,0,1
0,1-комнатная,35.2,11.3,12.5,8,6019200,Проспект Ветеранов,24,на машине,0,1
1,1-комнатная,35.05,10.1,15.1,4,6190000,Звездная,19,на машине,1,0
1,4-комнатная,49.5,38.0,6.5,5,6290000,Проспект Ветеранов,9,пешком,60,0
1,Студия,36.7,22.0,6.0,3,6299851,Ленинский проспект,10,на машине,44,0
0,Студия,26.82,8.3,7.1,2,6118044,Проспект Ветеранов,11,на машине,0,0
0,2-комнатная,35.92,9.4,16.8,3,6142320,Проспект Ветеранов,24,на машине,0,1
0,1-комнатная,37.54,14.7,16.0,5,5916773,Купчино,21,на машине,0,0
0,Студия,27.7,12.2,5.1,1,6013670,Московская,22,на машине,0,1
0,1-комнатная,38.18,18.0,11.2,11,4680455,Рыбацкое,19,на машине,0,1
0,1-комнатная,26.3,10.3,9.3,2,4426290,Академическая,19,на машине,0,0
0,Студия,25.4,11.9,5.0,6,4653280,Академическая,17,на машине,1,0
0,1-комнатная,27.3,10.3,9.3,2,4545450,Академическая,19,на машине,0,0
0,Студия,21.8,10.0,5.0,1,4412320,Московская,22,на машине,0,1
1,1-комнатная,29.1,16.7,5.3,4,4500000,Звездная,9,на машине,55,0
0,1-комнатная,35.68,12.7,10.6,11,4712761,Рыбацкое,18,на машине,0,1
0,1-комнатная,31.4,9.8,15.4,15,4731980,Академическая,15,на машине,0,1
0,1-комнатная,31.72,9.7,15.0,3,4690198,Купчино,22,на машине,0,0
0,Студия,21.07,11.0,3.0,14,4481122,Рыбацкое,5,на машине,0,0
0,Студия,21.4,10.0,5.0,3,4697300,Московская,22,на машине,0,1
0,1-комнатная,30.5,13.2,7.6,4,4693950,Академическая,19,на машине,0,0
0,Студия,24.7,13.9,5.0,3,4734990,Ломоносовская,6,на машине,0,1
1,1-комнатная,30.2,18.6,6.0,4,4790000,Купчино,18,на машине,65,0
1,1-комнатная,32.8,12.3,6.9,1,4750000,Озерки,25,на машине,51,0
1,2-комнатная,43.3,25.2,8.0,1,4798000,Шушары,16,на машине,4,0
0,Студия,23.4,10.2,5.0,5,4492800,Купчино,6,на машине,2,0
1,1-комнатная,30.5,16.0,7.0,5,4750000,Ломоносовская,4,на машине,63,0
0,Студия,19.78,9.0,5.1,1,4556283,Рыбацкое,4,на машине,0,1
0,Студия,25.5,11.9,5.0,8,4671600,Академическая,17,на машине,1,0
0,1-комнатная,27.5,10.2,9.4,1,4603500,Академическая,19,на машине,0,0
0,1-комнатная,32.2,12.5,14.1,8,4762380,Академическая,14,на машине,0,1
0,Студия,24.6,11.6,5.2,17,4575600,Купчино,5,на машине,2,0
1,2-комнатная,42.0,28.0,5.0,3,4500000,Шушары,14,на машине,54,0
0,1-комнатная,36.78,12.0,10.8,11,4506064,Рыбацкое,19,на машине,0,1
0,1-комнатная,34.79,10.5,10.2,7,4453851,Рыбацкое,19,на машине,0,1
0,Студия,24.85,12.7,5.1,11,4192637,Рыбацкое,18,на машине,1,0
1,1-комнатная,32.2,15.3,11.0,9,4382000,Шушары,16,на машине,4,0
0,Студия,24.4,11.2,5.0,3,4440800,Купчино,5,на машине,2,0
0,1-комнатная,32.89,10.5,14.1,7,4361576,Рыбацкое,19,на машине,0,1
0,1-комнатная,34.48,10.2,15.3,7,4415474,Рыбацкое,19,на машине,0,1
0,Студия,21.13,9.8,5.1,3,4227479,Рыбацкое,18,на машине,1,0
0,Студия,33.31,15.5,3.8,1,4083006,Рыбацкое,19,на машине,0,1
0,Студия,21.0,9.8,5.0,2,4403700,Ломоносовская,6,на машине,0,0
0,Студия,18.8,7.6,5.0,9,3979960,Академическая,17,на машине,1,0
0,1-комнатная,28.9,9.9,12.7,1,4421700,Академическая,19,на машине,0,0
0,Студия,27.3,9.8,8.1,24,4245150,Академическая,19,на машине,0,0
0,Студия,21.3,10.0,4.7,11,3885069,Рыбацкое,22,на машине,1,0
0,Студия,23.79,12.1,5.0,2,4151729,Рыбацкое,18,на машине,1,0
0,Студия,21.14,10.0,5.0,9,4020828,Академическая,15,на машине,1,0
0,Студия,23.02,10.9,5.1,1,4056009,Рыбацкое,22,на машине,1,0
0,Студия,21.45,10.0,5.4,1,3992750,Рыбацкое,4,на машине,0,1
0,Студия,20.58,8.5,5.0,1,3811416,Академическая,15,на машине,1,0
0,Студия,27.61,15.3,3.0,19,3950000,Улица Дыбенко,21,пешком,0,1
0,Студия,20.2,8.7,5.0,2,4326840,Ломоносовская,6,на машине,0,1
0,1-комнатная,30.4,17.1,8.2,1,4383680,Академическая,19,на машине,0,0
0,Студия,19.78,9.0,5.1,1,4311051,Рыбацкое,5,на машине,0,0
0,Студия,24.29,10.7,5.6,11,4160397,Рыбацкое,22,на машине,1,0
0,Студия,24.59,13.3,3.5,2,3811450,Шушары,11,на машине,0,0
0,Студия,21.7,11.0,5.0,1,3928959,Рыбацкое,22,на машине,1,0
1,1-комнатная,32.0,15.0,6.0,2,4000000,Проспект Ветеранов,11,на машине,65,0
0,Студия,23.28,11.2,5.0,2,4400000,Проспект Ветеранов,11,на машине,0,0
1,2-комнатная,56.0,32.0,9.2,15,16200000,Пролетарская,11,пешком,10,0
1,3-комнатная,79.4,55.0,11.0,3,15000000,Сенная площадь,4,пешком,165,0
1,1-комнатная,41.2,21.9,11.0,6,14950000,Площадь Александра Невского,14,пешком,11,0
